nct_id	compound_id	compound_name	disease_id	disease_name
NCT00012857	DB00316	Acetaminophen	DOID:10652	Alzheimer's disease
NCT00385684	DB00316	Acetaminophen	DOID:10652	Alzheimer's disease
NCT01608217	DB00316	Acetaminophen	DOID:10652	Alzheimer's disease
NCT02719834	DB00316	Acetaminophen	DOID:10652	Alzheimer's disease
NCT01078168	DB00459	Acitretin	DOID:10652	Alzheimer's disease
NCT02279511	DB00640	Adenosine	DOID:10652	Alzheimer's disease
NCT00975481	DB00404	Alprazolam	DOID:10652	Alzheimer's disease
NCT01782742	DB00307	Bexarotene	DOID:10652	Alzheimer's disease
NCT02061878	DB00307	Bexarotene	DOID:10652	Alzheimer's disease
NCT00692510	DB01156	Bupropion	DOID:10652	Alzheimer's disease
NCT01047254	DB01156	Bupropion	DOID:10652	Alzheimer's disease
NCT00692510	DB00201	Caffeine	DOID:10652	Alzheimer's disease
NCT00726726	DB00201	Caffeine	DOID:10652	Alzheimer's disease
NCT02646982	DB00796	Candesartan	DOID:10652	Alzheimer's disease
NCT01354444	DB01136	Carvedilol	DOID:10652	Alzheimer's disease
NCT02648906	DB00122	Choline	DOID:10652	Alzheimer's disease
NCT01409564	DB01166	Cilostazol	DOID:10652	Alzheimer's disease
NCT00229333	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT00260624	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT00702780	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT00898807	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT01119638	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT01841125	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT01876823	DB00215	Citalopram	DOID:10652	Alzheimer's disease
NCT00254033	DB01576	Dextroamphetamine	DOID:10652	Alzheimer's disease
NCT00726726	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT00788047	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT01584440	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT01832350	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT02442765	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT02442778	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT02446132	DB00514	Dextromethorphan	DOID:10652	Alzheimer's disease
NCT00831506	DB00390	Digoxin	DOID:10652	Alzheimer's disease
NCT00000173	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00035204	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00096473	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00151398	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00165659	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00165724	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00165750	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00190021	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00230568	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00348140	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00348192	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00348309	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00369603	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00381381	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00403520	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00408525	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00423228	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00428389	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00467766	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00477659	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00478205	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00480870	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00501111	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00505167	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00566501	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00571064	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00602680	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00630851	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00693004	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00708552	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00710684	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00711204	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00713765	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00750529	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00766363	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00777608	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00829816	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00843115	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00866060	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00874939	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00889603	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00895895	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00911807	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00948909	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00987220	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00988598	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01018875	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01019421	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01023425	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01023867	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01024660	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01039701	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01042314	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01082965	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01125683	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01129596	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01137526	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01245530	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01251718	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01255046	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01266525	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01276353	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01297036	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01362686	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01404169	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01466088	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01478633	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01487395	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01527916	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01539031	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01822951	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01849042	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01860625	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01940952	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01951118	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT01955161	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02006641	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02051335	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02064920	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02079246	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02087865	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02097056	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02158910	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02162251	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02162264	DB00843	Donepezil	DOID:10652	Alzheimer's disease
